_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
63ff3add5027fd0b0521c7eb,,57.98,96.15,57.98,75.47,145;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1677671133000
63ff3aa95027fd0b051c1c0f,,55.58,92.05,55.58,71.68,139;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1677671081000
63ff3a505027fd0b051c1992,,57.98,96.08,57.98,67.85,145;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1677670992000
63fe0e105027fd0b052feb4b,,56.78,93.46,56.78,66.67,142;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1677594128000
63fe0deb5027fd0b052fe94a,,59.18,98.03,59.18,69.88,148;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1677594091000
63f6f486c283c730c3439d06,,55.6,91.5,55.6,65.17,139;0;0;0,time,30,-1,1,30,0,0.17,false,false,english,none,normal,false,false,false,,1677128838000
63f6f3eac283c730c3439865,,59.58,93.21,59.58,70.68,149;0;0;0,time,30,-1,3,30.01,0,14.04,false,false,english,none,normal,false,false,false,,1677128682000
63edcaffcd1271d9fed22baf,true,34.79,83.65,34.79,46.6,87;0;0;0,time,30,-1,0,30.01,0,0,true,false,english,none,normal,false,false,false,,1676528383000
63edcacacd1271d9fed22a37,true,50.98,91.29,50.98,65.55,257;0;0;0,words,50,-1,0,60.5,0,0,false,false,english,none,normal,false,false,false,,1676528330000
63edca45cd1271d9fed22698,true,46.67,89.53,47.15,62.74,492;1;0;0,custom,custom,-1,0,126.5,1,0,false,false,english,none,normal,false,false,false,,1676528197000
63edc9b1cd1271d9fecc948d,true,52.39,90.91,53.59,60.05,262;0;1;0,time,60,-1,3,60.01,0,1.84,false,false,english,none,normal,false,false,false,,1676528049000
63edc965cd1271d9fecc925f,true,49.38,91.37,49.38,68.24,247;0;0;0,time,60,-1,8,60.02,0,25.36,false,false,english,none,normal,false,false,false,,1676527973000
63edc8bacd1271d9fecc8d3c,true,69.98,97.25,69.98,77.11,175;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1676527802000
63edc817cd1271d9fecc88a9,true,65.98,95.93,66.38,72.26,165;1;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1676527639000
63edc761cd1271d9fecc83a0,,53.6,95.07,53.6,70.16,134;0;0;0,time,30,-1,2,30,0,2.63,false,false,english,none,normal,false,false,false,,1676527457000
63edc730cd1271d9fecc8247,true,59.58,95.03,61.18,77.7,149;0;0;1,time,30,-1,0,30.01,0,30,false,false,english,none,normal,false,false,false,,1676527408000
63edc6d0cd1271d9fecc7fac,,44.79,86.76,45.98,65.49,112;1;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1676527312000
63eb1926cd1271d9fe7ad2fb,true,59.18,96.15,59.18,72.18,148;0;0;0,time,30,-1,1,30.01,0,1.94,false,false,english,none,normal,false,false,false,,1676351782000
63eb18f1cd1271d9fe7ad19e,true,56.1,94,56.6,72.31,561;3;0;0,time,120,-1,0,120.01,0,0,false,false,english,none,normal,false,false,false,,1676351729000
